ORTHOLOG_SET	MIN_PERCENT_ID	MAX_PERCENT_ID	AVG_PERCENT_ID	STD_DEV	NUM_PRODIGAL_STARTS	NUM_CORRECTIONS
G3_D2_0381	59.8	100.0	83.29	15.19	0	5
G3_D2_0382	66.15	100.0	78.87	12.49	5	0
G3_D2_2518	50.34	100.0	68.53	19.21	5	0
G3_D2_2519	87.95	100.0	93.62	4.33	5	0
G3_D2_0380	64.17	100.0	81.04	12.72	0	5
G3_D2_2112	62.85	100.0	76.49	15.25	0	5
G3_D2_1871	29.48	100.0	72.01	21.19	5	0
G3_D2_0385	87.72	100.0	93.9	4.43	5	0
G3_D2_2113	59.71	100.0	77.87	13.85	4	1
G3_D2_1870	59.42	100.0	82.73	16.03	5	0
G3_D2_2110	72.27	100.0	84.03	9.43	3	2
G3_D2_0383	59.26	100.0	73.41	16.19	5	0
G3_D2_2111	82.59	100.0	90.25	6.39	5	0
G3_D2_0384	64.96	100.0	81.45	11.55	5	0
G3_D2_2510	50.32	100.0	68.85	19.37	5	0
G3_D2_2511	26.19	100.0	56.95	26.44	5	0
G3_D2_2516	65.21	100.0	81.42	13.2	5	0
G3_D2_2517	67.08	100.0	84.39	11.31	5	0
G3_D2_2515	36.79	100.0	68.49	21.12	5	0
G3_D2_1869	84.96	100.0	92.21	5.33	5	0
G3_D2_2520	89.92	100.0	95.36	3.9	5	0
G3_D1_2096	68.04	100.0	81.04	12.59	3	2
G3_D1_2097	84.13	100.0	92.1	5.69	5	0
G3_D1_2094	87.46	100.0	93.87	4.81	5	0
G3_D1_2095	72.01	100.0	86.05	10.03	5	0
G3_D2_1863	87.71	100.0	94.37	4.56	5	0
G3_D2_0379	70.25	100.0	84.77	11.22	5	0
G3_D2_1864	89.68	100.0	94.5	3.72	5	0
G3_D1_2093	63.69	100.0	84.53	12.67	0	5
G3_D2_0378	79.91	100.0	89.31	7.08	0	5
G3_D2_1861	41.77	100.0	69.62	20.54	5	0
G3_D2_0377	75.23	100.0	87.41	8.68	4	1
G3_D2_2103	95.79	100.0	97.68	1.68	5	0
G3_D2_1862	52.83	100.0	72.47	17.62	2	3
G3_D2_0376	55.41	100.0	75.33	16.68	0	5
G3_D2_1867	71.64	100.0	83.48	11.48	3	2
G3_D2_2109	65.18	100.0	77.5	12.44	0	5
G3_D2_1868	82.99	100.0	90.45	6.28	2	3
G3_D2_2108	70.85	100.0	82.86	11.62	5	0
G3_D2_1865	84.67	100.0	93.25	5.61	5	0
G3_D2_1866	90.65	100.0	95.66	3.29	5	0
G3_D2_2507	81.45	100.0	89.16	6.64	5	0
G3_D2_2508	61.32	100.0	79.34	14.26	5	0
G3_D2_2509	59.24	100.0	77.02	15.66	4	1
G3_D2_2120	75.0	100.0	86.22	8.92	0	5
G3_D2_2121	82.13	100.0	89.48	6.61	5	0
G3_D2_0372	71.57	100.0	84.34	9.55	4	1
G3_D2_0373	75.24	100.0	85.34	9.06	5	0
