G1_D1_0004|G4_D1_2775, G1_D1_0004|G4_D1_2592, 74.44
G1_D1_0007|G1_D1_0007, G1_D1_0007|G1_D1_4302, 100.00
G1_D1_0107|G1_D1_0107, G1_D1_0107|G1_D1_3849, 100.00
G1_D1_0109|G1_D1_0107, G1_D1_0109|G1_D1_3849, 100.00
G1_D1_0131|G4_D1_2032, G1_D1_0131|G4_D2_0467, 20.41
G1_D1_0135|G1_D2_2687, G1_D1_0135|G1_D1_0135, 100.00
G1_D1_0176|G4_D1_1012, G1_D1_0176|G4_D2_0365, 1.97
G1_D1_0193|G1_D1_0107, G1_D1_0193|G1_D1_3849, 100.00
G1_D1_0246|G5_D1_1079, G1_D1_0246|G5_D1_0034, 37.36
G1_D1_0253|G5_D1_1504, G1_D1_0253|G5_D1_2884, 19.55
G1_D1_0305|G1_D1_2518, G1_D1_0305|G1_D1_0305, 100.00
G1_D1_0370|G5_D2_0499, G1_D1_0370|G5_D1_2716, 24.80
G1_D1_0433|G4_D2_1225, G1_D1_0433|G4_D1_2085, 32.17
G1_D1_0592|G5_D1_0771, G1_D1_0592|G5_D2_0990, 14.74
G1_D1_0625|G5_D2_1176, G1_D1_0625|G5_D4_678, 45.99
G1_D1_0658|G1_D2_1155, G1_D1_0658|G1_D1_0658, 100.00
G1_D1_0659|G1_D2_1154, G1_D1_0659|G1_D1_2030, 100.00
G1_D1_0660|G2_D6_0594, G1_D1_0660|G2_D6_0078, 16.54
G1_D1_0665|G3_D2_1855, G1_D1_0665|G3_D2_3120, 4.92
G1_D1_0676|G3_D2_1425, G1_D1_0676|G3_D2_2649, 64.10
G1_D1_0677|G2_D6_0079, G1_D1_0677|G2_D6_0593, 63.47
G1_D1_0678|G2_D8_2628, G1_D1_0678|G2_D7_0972, 32.87
G1_D1_0683|G1_D1_2005, G1_D1_0683|G1_D1_0683, 100.00
G1_D1_0684|G3_D1_0099, G1_D1_0684|G3_D2_1447, 25.00
G1_D1_0688|G2_D6_0767, G1_D1_0688|G2_D8_1991, 9.98
G1_D1_0693|G2_D7_0677, G1_D1_0693|G2_D7_1102, 13.39
G1_D1_0695|G1_D2_2848, G1_D1_0695|G1_D1_1257, 100.00
G1_D1_0696|G1_D2_2847, G1_D1_0696|G1_D1_1256, 100.00
G1_D1_0703|G2_D2_148, G1_D1_0703|G2_D8_0006, 46.53
G1_D1_0705|G1_D1_4309, G1_D1_0705|G1_D1_4294, 100.00
G1_D1_0706|G1_D1_4308, G1_D1_0706|G1_D1_4295, 100.00
G1_D1_0707|G1_D1_4307, G1_D1_0707|G1_D1_4296, 100.00
G1_D1_0716|G1_D2_1304, G1_D1_0716|G1_D1_0716, 100.00
G1_D1_0720|G5_D1_1992, G1_D1_0720|G5_D1_2827, 20.75
G1_D1_0722|G3_D1_1081, G1_D1_0722|G3_D1_1874, 18.38
G1_D1_0729|G5_D4_593, G1_D1_0729|G5_D1_2386, 49.18
G1_D1_0732|G2_D8_0236, G1_D1_0732|G2_D6_1105, 25.68
